MissionID,MissionDate,TheaterOfOperations,Country,AirForce,AircraftSeries,Callsign,TakeoffBase,TakeoffLocation,TakeoffLatitude,TakeoffLongitude,TargetCountry,TargetCity,TargetType,TargetIndustry,TargetLatitude,TargetLongitude,AirborneAircraft,AttackingAircraft,BombingAircraft,AircraftReturned,AircraftFailed,AircraftDamaged,AircraftLost,HighExplosives,HighExplosivesType,HighExplosivesWeight_Pounds_,HighExplosivesWeight_Tons_,IncendiaryDevices,IncendiaryDevicesType,IncendiaryDevicesWeight_Pounds_,IncendiaryDevicesWeight_Tons_,FragmentationDevices,FragmentationDevicesType,FragmentationDevicesWeight_Pounds_,FragmentationDevicesWeight_Tons_,TotalWeight_Pounds_,TotalWeight_Tons_,TimeOverTarget,BombDamageAssessment,SourceID
176952,08-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"NOVARA DI SICILIA","",,38.02,15.12,14,NaN,14,NaN,2,NaN,NaN,28,500 LB GP (GP-M43/M64),NaN,7,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,7,NaN,NaN,NaN
176954,08-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CESARO","",,37.83,14.7,12,NaN,12,NaN,NaN,NaN,NaN,24,500 LB GP (GP-M43/M64),NaN,6,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,6,NaN,NaN,NaN
176958,08-Aug-1943,MTO,GREAT BRITAIN,RAF,HALI,NaN,"OUDNA",TUNISIA,36.649608,10.121936,GREECE,"SAN GIOVANNI","",,38.22,15.22,17,15,15,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,NaN,270,4 LB INCENDIARY,NaN,7.29,NaN,,NaN,0,NaN,42.29,NaN,NaN,699206
176998,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"BARCELLONA","",,38.13,15.22,40,NaN,40,NaN,NaN,NaN,NaN,80,500 LB GP (GP-M43/M64),NaN,20,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,20,NaN,NaN,NaN
177001,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"PATTI","",,38.13,14.95,28,NaN,28,NaN,NaN,NaN,NaN,56,500 LB GP (GP-M43/M64),NaN,14,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,14,NaN,NaN,NaN
177018,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"AQUINO","",,41.48,13.7,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177019,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177020,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"CAPE ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177021,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",ARMAMENT AND ORDNANCE PLANTS,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
177022,09-Aug-1943,MTO,USA,12 AF,A36,NaN,"PONTE OLIVO AIRFIELD",SICILY,37.131022,14.321464,ITALY,"ORLANDO","",,38.15,14.73,0,NaN,NaN,NaN,NaN,NaN,NaN,0,500 LB GP (GP-M43/M64),NaN,0,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,0,NaN,NaN,NaN
